name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Lisa Keiffer,Vanuatu,44,LA,15,0,Female,South,Not Coast,Old School,Middle
John Kenney,Vanuatu,22,CA,18,0,Male,West,West Coast,Old School,Young
Rory Freeman,Vanuatu,35,IA,21,0,Male,Midwest,Not Coast,Old School,Young
Lea Masters,Vanuatu,40,SC,24,0,Male,South,East Coast,Old School,Middle
Chad Crittenden,Vanuatu,34,CA,27,0,Male,West,West Coast,Old School,Young
Leann Slaby,Vanuatu,35,WI,30,0,Female,Midwest,Not Coast,Old School,Young
Ami Cusack,Vanuatu,31,CO,33,0,Female,West,Not Coast,Old School,Young
Julie Berry,Vanuatu,23,ME,36,0,Female,Northeast,East Coast,Old School,Young
Eliza Orlins,Vanuatu,21,NY,37,0,Female,Northeast,East Coast,Old School,Young
Scout Cloud Lee,Vanuatu,59,OK,38,0,Female,South,Not Coast,Old School,Old
Twila Tanner,Vanuatu,41,MO,39,1,Female,Midwest,Not Coast,Old School,Middle
Chris Daugherty,Vanuatu,33,OH,39,1,Male,Midwest,Not Coast,Old School,Young
Jonathan Libby,Palau,23,TX,2,1,Male,South,Not Coast,Old School,Young
Wanda Shirk,Palau,55,PA,2,1,Female,Northeast,Not Coast,Old School,Old
Jolanda Jones,Palau,38,TX,3,0,Female,South,Not Coast,Old School,Middle
Ashlee Ashby,Palau,22,SC,6,0,Female,South,East Coast,Old School,Young
Jeff Wilson,Palau,21,CA,8,0,Male,West,West Coast,Old School,Young
Kim Mullen,Palau,25,OH,11,0,Female,Midwest,Not Coast,Old School,Young
Willard Smith,Palau,56,WA,12,0,Male,West,West Coast,Old School,Old
Angie Jakusz,Palau,24,LA,12,0,Female,South,Not Coast,Old School,Young
James Miller,Palau,33,AL,15,0,Male,South,Not Coast,Old School,Young
Ibrehem Rahman,Palau,27,AL,18,0,Male,South,Not Coast,Old School,Young
Bobby Jon Drinkard,Palau,27,AL,21,1,Male,South,Not Coast,Old School,Young
Coby Archa,Palau,32,TX,24,0,Male,South,Not Coast,Old School,Young
Janu Tornell,Palau,39,NV,27,1,Female,West,Not Coast,Old School,Middle
Stephenie LaGrossa,Palau,24,PA,30,0,Female,Northeast,Not Coast,Old School,Young
Gregg Carey,Palau,27,IL,33,0,Male,Midwest,Not Coast,Old School,Young
Caryn Groedel,Palau,46,OH,36,0,Female,Midwest,Not Coast,Old School,Middle
Jenn Lyon,Palau,32,CA,37,0,Female,West,West Coast,Old School,Young
Ian Rosenberger,Palau,23,FL,38,0,Male,South,East Coast,Old School,Young
Katie Gallagher,Palau,29,CA,39,1,Female,West,West Coast,Old School,Young
Tom Westman,Palau,40,NY,39,1,Male,Northeast,East Coast,Old School,Middle
Jim Lynch,Guatemala,63,CO,3,0,Male,West,Not Coast,Old School,Old
Morgan McDevitt,Guatemala,21,IL,6,0,Female,Midwest,Not Coast,Old School,Young
Brianna Varela,Guatemala,21,WA,8,0,Female,West,West Coast,Old School,Young
Brooke Struck,Guatemala,25,OR,11,0,Female,West,West Coast,Old School,Young
Blake Towsley,Guatemala,24,TX,14,0,Male,South,Not Coast,Old School,Young
Margaret Bobonich,Guatemala,43,OH,15,0,Female,Midwest,Not Coast,Old School,Middle
Brian Corridan,Guatemala,22,NY,15,0,Male,Northeast,East Coast,Old School,Young
Amy O'Hara,Guatemala,39,MA,18,0,Female,Northeast,East Coast,Old School,Middle
Brandon Bellinger,Guatemala,22,KS,21,0,Male,Midwest,Not Coast,Old School,Young
Bobby Jon Drinkard,Guatemala,28,AL,24,0,Male,South,Not Coast,Old School,Young
Jamie Newton,Guatemala,24,CA,27,0,Male,West,West Coast,Old School,Young
Gary Hogeboom,Guatemala,46,MI,30,0,Male,Midwest,Not Coast,Old School,Middle
Judd Sergeant,Guatemala,34,NJ,33,0,Male,Northeast,East Coast,Old School,Young
Cindy Hall,Guatemala,31,FL,36,0,Female,South,East Coast,Old School,Young
Lydia Morales,Guatemala,42,WA,37,0,Female,West,West Coast,Old School,Middle
Rafe Judkins,Guatemala,22,RI,38,0,Male,Northeast,East Coast,Old School,Young
Stephenie LaGrossa,Guatemala,25,PA,39,1,Female,Northeast,Not Coast,Old School,Young
Danni Boatwright,Guatemala,30,KS,39,1,Female,Midwest,Not Coast,Old School,Young
Tina Scheer,Panama,44,WI,3,0,Female,Midwest,Not Coast,Old School,Middle
Melinda Hyder,Panama,32,TN,6,0,Female,South,Not Coast,Old School,Young
Misty Giles,Panama,24,TX,8,0,Female,South,Not Coast,Old School,Young
Ruth-Marie Milliman,Panama,48,SC,11,0,Female,South,East Coast,Old School,Middle
Bobby Mason,Panama,32,CA,14,0,Male,West,West Coast,Old School,Young
