name,season,age,state,elim,is_censored,is_male
Stephenie LaGrossa,Palau,24,PA,30,0,0
Gregg Carey,Palau,27,IL,33,0,1
Caryn Groedel,Palau,46,OH,36,0,0
Jenn Lyon,Palau,32,CA,37,0,0
Ian Rosenberger,Palau,23,FL,38,0,1
Katie Gallagher,Palau,29,CA,39,1,0
Tom Westman,Palau,40,NY,39,1,1
Jim Lynch,Guatemala,63,CO,3,0,1
Morgan McDevitt,Guatemala,21,IL,6,0,0
Brianna Varela,Guatemala,21,WA,8,0,0
Brooke Struck,Guatemala,25,OR,11,0,0
Blake Towsley,Guatemala,24,TX,14,0,1
Margaret Bobonich,Guatemala,43,OH,15,0,0
Brian Corridan,Guatemala,22,NY,15,0,1
Amy O'Hara,Guatemala,39,MA,18,0,0
Brandon Bellinger,Guatemala,22,KS,21,0,1
Bobby Jon Drinkard,Guatemala,28,AL,24,0,1
Jamie Newton,Guatemala,24,CA,27,0,1
Gary Hogeboom,Guatemala,46,MI,30,0,1
Judd Sergeant,Guatemala,34,NJ,33,0,1
Cindy Hall,Guatemala,31,FL,36,0,0
Lydia Morales,Guatemala,42,WA,37,0,0
Rafe Judkins,Guatemala,22,RI,38,0,1
Stephenie LaGrossa,Guatemala,25,PA,39,1,0
Danni Boatwright,Guatemala,30,KS,39,1,0
Tina Scheer,Panama,44,WI,3,0,0
Melinda Hyder,Panama,32,TN,6,0,0
Misty Giles,Panama,24,TX,8,0,0
Ruth-Marie Milliman,Panama,48,SC,11,0,0
Bobby Mason,Panama,32,CA,14,0,1
Dan Barry,Panama,51,MA,15,0,1
Nick Stanbury,Panama,25,AZ,18,0,1
Austin Carty,Panama,24,NC,21,0,1
Sally Schumann,Panama,27,IL,24,0,0
Bruce Kanegai,Panama,57,CA,25,1,1
Courtney Marit,Panama,31,CA,30,0,0
Shane Powers,Panama,34,CA,33,0,1
Cirie Fields,Panama,35,SC,36,0,0
Terry Deitz,Panama,46,CT,38,0,1
Danielle DiLorenzo,Panama,24,FL,39,1,0
Aras Baskauskas,Panama,24,CA,39,1,1
Sekou Bunch,Cook Islands,45,CA,3,0,1
Billy Garcia,Cook Islands,36,NY,6,0,1
Cecilia Mansilla,Cook Islands,29,CA,8,0,0
J.P. Calderon,Cook Islands,30,CA,11,0,1
Stephannie Favor,Cook Islands,35,SC,14,0,0
Cao Boi Bui,Cook Islands,42,VA,15,0,1
Cristina Coria,Cook Islands,35,CA,15,0,0
Jessica Smith,Cook Islands,27,CA,18,0,0
Brad Virata,Cook Islands,29,CA,21,0,1
Rebecca Borman,Cook Islands,34,NY,24,0,0
Jenny Guzon-Bae,Cook Islands,36,IL,24,0,0
Nate Gonzalez,Cook Islands,26,CA,27,0,1
Candice Woodcock,Cook Islands,23,NC,30,0,0
Jonathan Penner,Cook Islands,44,CA,33,0,1
Parvati Shallow,Cook Islands,23,CA,36,0,0
Adam Gentry,Cook Islands,28,CA,37,0,1
Sundra Oakley,Cook Islands,31,CA,38,0,0
Becky Lee,Cook Islands,28,DC,39,1,0
Ozzy Lusth,Cook Islands,25,CA,39,1,1
Yul Kwon,Cook Islands,31,CA,39,1,1
Jessica deBen,Fiji,27,CA,3,0,0
Erica Durousseau,Fiji,27,LA,6,0,0
Sylvia Kwan,Fiji,52,CA,8,0,0
Gary Stritesky,Fiji,55,MN,10,1,1
Liliana Gomez,Fiji,25,CA,11,0,0
Rita Verreos,Fiji,38,TX,14,0,0
Anthony Robinson,Fiji,32,CA,16,0,1
Rocky Reid,Fiji,28,CA,19,0,1
Lisi Linares,Fiji,36,CA,21,0,0
Michelle Yi,Fiji,23,OH,24,0,0
Edgardo Rivera,Fiji,28,FL,27,0,1
Mookie Lee,Fiji,25,IL,30,0,1
Alex Angarita,Fiji,28,CA,33,0,1
Stacy Kimball,Fiji,27,CO,36,0,0
Boo Bernis,Fiji,34,LA,37,0,1
Yau-Man Chan,Fiji,54,CA,38,0,1
Cassandra Franklin,Fiji,42,CA,39,1,0
